lattice_vec_0,lattice_vec_1,lattice_vec_2,lattice_vec_3,vortex_0,vortex_1,vortex_2,vortex_3,n,k,distance,logical_error_rate,error_bar,shots,errors,p_phenomenological
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",-1,-1,0,0,24,4,1,0.06778698762348132,0.0054408489021779555,8807,597,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",-1,1,0,0,24,4,1,0.06648422408242112,0.004516097287735013,12424,826,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,0,0,0,24,4,1,0.07750472589792061,0.014199601114426016,1587,123,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,-1,0,0,24,4,1,0.08169556840077072,0.007764928136347729,5190,424,0.0
"[0, 6, 0, 0]","[1, 5, 0, 0]","[0, 5, -1, 0]","[0, 5, 0, -1]",1,1,0,0,24,4,1,0.07734326505276226,0.00603740766038996,8055,623,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 2, -1, 0]","[0, 3, 0, -1]",0,0,0,0,27,6,2,0.06657535878044424,0.0038704079588613577,16793,1118,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 2, -1, 0]","[0, 3, 0, -1]",0,-1,0,0,27,6,2,0.06662202879142953,0.00660615886300378,5974,398,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 2, -1, 0]","[0, 3, 0, -1]",0,1,0,0,27,6,2,0.06566980114074303,0.006288669789172266,6487,426,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,0,0,0,27,6,2,0.06832417847161992,0.005015925860554826,10377,709,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,-1,0,0,27,6,2,0.06621048573631458,0.0049467707447640175,10376,687,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",0,1,0,0,27,6,2,0.06318136769078295,0.005518067532767845,8072,510,0.0
"[0, 7, 0, 0]","[1, 1, 0, 0]","[0, 4, -1, 0]","[0, 5, 0, -1]",-1,0,0,0,27,6,2,0.04400291856092496,0.0031112505336015686,17817,784,0.0
